x,y,z,f
2,0.1,-20,0.2
2,0.1,-15,0.7
2,0.1,-10,1.2
2,0.1,-5,1.7
2,0.1,0,2.2
2,0.1,5,2.7
2,0.1,10,3.2
2,0.1,15,3.7
2,0.1,20,4.2
2,0.2,-20,0.4
2,0.2,-15,0.9
2,0.2,-10,1.4
2,0.2,-5,1.9
2,0.2,0,2.4
2,0.2,5,2.9
2,0.2,10,3.4
2,0.2,15,3.9
2,0.2,20,4.4
2,0.3,-20,0.6
2,0.3,-15,1.1
2,0.3,-10,1.6
2,0.3,-5,2.1
2,0.3,0,2.6
2,0.3,5,3.1
2,0.3,10,3.6
2,0.3,15,4.1
2,0.3,20,4.6
2,0.4,-20,0.8
2,0.4,-15,1.3
2,0.4,-10,1.8
2,0.4,-5,2.3
2,0.4,0,2.8
2,0.4,5,3.3
2,0.4,10,3.8
2,0.4,15,4.3
2,0.4,20,4.8
2,0.5,-20,1
2,0.5,-15,1.5
2,0.5,-10,2
2,0.5,-5,2.5
2,0.5,0,3
2,0.5,5,3.5
2,0.5,10,4
2,0.5,15,4.5
2,0.5,20,5
2,0.6,-20,1.2
2,0.6,-15,1.7
2,0.6,-10,2.2
2,0.6,-5,2.7
2,0.6,0,3.2
2,0.6,5,3.7
2,0.6,10,4.2
2,0.6,15,4.7
2,0.6,20,5.2
2,0.7,-20,1.4
2,0.7,-15,1.9
2,0.7,-10,2.4
2,0.7,-5,2.9
2,0.7,0,3.4
2,0.7,5,3.9
2,0.7,10,4.4
2,0.7,15,4.9
2,0.7,20,5.4
2,0.8,-20,1.6
2,0.8,-15,2.1
2,0.8,-10,2.6
2,0.8,-5,3.1
2,0.8,0,3.6
2,0.8,5,4.1
2,0.8,10,4.6
2,0.8,15,5.1
2,0.8,20,5.6
2,0.9,-20,1.8
2,0.9,-15,2.3
2,0.9,-10,2.8
2,0.9,-5,3.3
2,0.9,0,3.8
2,0.9,5,4.3
2,0.9,10,4.8
2,0.9,15,5.3
2,0.9,20,5.8
2,0.95,-20,1.9
2,0.95,-15,2.4
2,0.95,-10,2.9
2,0.95,-5,3.4
2,0.95,0,3.9
2,0.95,5,4.4
2,0.95,10,4.9
2,0.95,15,5.4
2,0.95,20,5.9
2,1,-20,2
2,1,-15,2.5
2,1,-10,3
2,1,-5,3.5
2,1,0,4
2,1,5,4.5
2,1,10,5
2,1,15,5.5
2,1,20,6
